"","id","status","address","address_google","location_type","pnt"
"21",21,"OK","Alang-Alang","Alangalang, Leyte, Philippines","APPROXIMATE",c(124.8844867, 11.2356459)
"23",22,"OK","Albuera","Albuera, Leyte, Philippines","APPROXIMATE",c(124.7519807, 10.9053869)
"24",23,"OK","Alburquerque","Albuquerque, NM, USA","APPROXIMATE",c(-106.650422, 35.0843859)
"25",24,"OK","Alcala (CG)","Alcala, Cagayan, Philippines","APPROXIMATE",c(121.6511258, 17.9049718)
"26",25,"OK","Alcala (PS)","Alcala, Pangasinan, Philippines","APPROXIMATE",c(120.5394232, 15.8546015)
"27",26,"ZERO_RESULTS","Alcantara (CU)",NA,NA,c(NA, NA)
"28",27,"ZERO_RESULTS","Alcantara (RN)",NA,NA,c(NA, NA)
"29",28,"OK","Alcoy","Alcoy, Cebu, Philippines","APPROXIMATE",c(123.4607744, 9.7117325)
"30",29,"ZERO_RESULTS","Alegria (CU)",NA,NA,c(NA, NA)
"31",30,"ZERO_RESULTS","Alegria (SN)",NA,NA,c(NA, NA)
"32",31,"OK","Aleosan","Aleosan, Cotabato, Philippines","APPROXIMATE",c(124.6303372, 7.1889378)
"33",32,"OK","Alfonso","Alfonso, Cavite, Philippines","APPROXIMATE",c(120.8613785, 14.1214038)
"34",33,"OK","Alfonso Castaneda","Alfonso Castañeda, Nueva Vizcaya, Philippines","APPROXIMATE",c(121.3084088, 15.9318902)
"35",34,"OK","Alfonso Lista","Alfonso Lista, Ifugao, Philippines","APPROXIMATE",c(121.4913182, 16.988521)
"36",35,"OK","Aliaga","Aliaga, Nueva Ecija, Philippines","APPROXIMATE",c(120.8613785, 15.5120421)
"37",36,"ZERO_RESULTS","Alicia (BL)",NA,NA,c(NA, NA)
"38",37,"ZERO_RESULTS","Alicia (IA)",NA,NA,c(NA, NA)
"39",38,"ZERO_RESULTS","Alicia (ZS)",NA,NA,c(NA, NA)
"40",39,"OK","Alimodian","Alimodian, Iloilo, Philippines","APPROXIMATE",c(122.367428, 10.8773088)
"41",40,"OK","Alitagtag","Alitagtag, Batangas, Philippines","APPROXIMATE",c(121.0220422, 13.8721364)
"42",41,"OK","Allacapan","Allacapan, Cagayan, Philippines","APPROXIMATE",c(121.5598345, 18.2161729)
"43",42,"OK","Alilem","Alilem, Ilocos Sur, Philippines","APPROXIMATE",c(120.5722244, 16.9108142)
"44",43,"OK","Allen","Allen, Northern Samar, Philippines","APPROXIMATE",c(124.287538, 12.5033683)
"45",44,"OK","Almagro","Almagro, Samar, Philippines","APPROXIMATE",c(124.3199316, 11.9452032)
"46",45,"OK","Almeria","Almería, Spain","APPROXIMATE",c(-2.4637136, 36.834047)
"48",46,"OK","Aloguinsan","Aloguinsan, Cebu, Philippines","APPROXIMATE",c(123.5616058, 10.1917127)
"49",47,"OK","Aloran","Aloran, Misamis Occidental, Philippines","APPROXIMATE",c(123.8159379, 8.4140426)
"50",48,"OK","Altavas","Altavas, Aklan, Philippines","APPROXIMATE",c(122.4580469, 11.5189263)
"51",49,"OK","Alubijid","Alubijid, Misamis Oriental, Philippines","APPROXIMATE",c(124.4530968, 8.5359703)
"52",50,"OK","Amadeo","Amadeo, Cavite, Philippines","APPROXIMATE",c(120.9222119, 14.1692753)
"53",51,"OK","Ambaguio","Ambaguio, Nueva Vizcaya, Philippines","APPROXIMATE",c(121.0564425, 16.5793584)
"54",52,"OK","Amlan","Amlan, Negros Oriental, Philippines","APPROXIMATE",c(123.1801309, 9.4443634)
"55",53,"OK","Ampatuan","Ampatuan, Maguindanao, Philippines","APPROXIMATE",c(124.3899973, 6.7674509)
"56",54,"OK","Amulung","Amulung, Cagayan, Philippines","APPROXIMATE",c(121.7423434, 17.8464893)
"57",55,"OK","Anahawan","Anahawan, Southern Leyte, Philippines","APPROXIMATE",c(125.2589751, 10.276242)
"58",56,"OK","Anao","Anao, Tarlac, Philippines","APPROXIMATE",c(120.6142365, 15.7435017)
"59",57,"ZERO_RESULTS","Anda (BL)",NA,NA,c(NA, NA)
"60",58,"ZERO_RESULTS","Anda (PS)",NA,NA,c(NA, NA)
"61",59,"OK","Angadanan","Angadanan, Isabela, Philippines","APPROXIMATE",c(121.7879244, 16.791298)
"62",60,"OK","Angat","Angat, Bulacan, Philippines","APPROXIMATE",c(121.0208845, 14.9380065)
"63",61,"OK","Angeles","Angeles, Pampanga, Philippines","APPROXIMATE",c(120.5887029, 15.1449853)
"64",62,"OK","Angono","Angono, Rizal, Philippines","APPROXIMATE",c(121.1595008, 14.5386796)
"65",63,"OK","Anilao","Anilao, Iloilo, Philippines","APPROXIMATE",c(122.740723, 11.0002604)
"67",64,"OK","Anini-Y","Anini-y, Antique, Philippines","APPROXIMATE",c(121.958687, 10.4515207)
"68",65,"OK","Antequera","Antequera, Bohol, Philippines","APPROXIMATE",c(123.920219, 9.7740668)
"70",66,"OK","Antipas","Antipas, Cotabato, Philippines","APPROXIMATE",c(125.0608405, 7.2699839)
"71",67,"OK","Antipolo","Antipolo, Rizal, Philippines","APPROXIMATE",c(121.1244847, 14.6254827)
"72",68,"OK","Apalit","Apalit, Pampanga, Philippines","APPROXIMATE",c(120.7588402, 14.9494418)
"73",69,"OK","Aparri","Aparri, Cagayan, Philippines","APPROXIMATE",c(121.6420059, 18.3550839)
"74",70,"OK","Araceli","Araceli, Philippines","APPROXIMATE",c(119.6, 10.333333)
"75",71,"OK","Arakan","Arakan, Cotabato, Philippines","APPROXIMATE",c(125.1474451, 7.3537668)
"76",72,"OK","Arayat","Arayat, Pampanga, Philippines","APPROXIMATE",c(120.780348, 15.1649828)
"77",73,"OK","Argao","Argao, Cebu, Philippines","APPROXIMATE",c(123.5504076, 9.9325808)
"78",74,"OK","Aringay","Aringay, La Union, Philippines","APPROXIMATE",c(120.3884732, 16.388791)
"79",75,"OK","Aritao","Aritao, Nueva Vizcaya, Philippines","APPROXIMATE",c(121.0105733, 16.2514964)
"80",76,"OK","Aroroy","Aroroy, Masbate, Philippines","APPROXIMATE",c(123.3884924, 12.4343877)
"81",77,"OK","Arteche","Arteche, Eastern Samar, Philippines","APPROXIMATE",c(125.4124355, 12.2873347)
"82",78,"OK","Asingan","Asingan, Pangasinan, Philippines","APPROXIMATE",c(120.6545022, 16.0043719)
"83",79,"OK","Asipulo","Asipulo, Ifugao, Philippines","APPROXIMATE",c(121.0398298, 16.7536572)
"84",80,"OK","Asturias","Asturias, Spain","APPROXIMATE",c(-5.8593267, 43.3613953)
"85",81,"OK","Asuncion","Asunción, Paraguay","APPROXIMATE",c(-57.575926, -25.2637399)
"87",82,"ZERO_RESULTS","Atimonan",NA,NA,c(NA, NA)
"88",83,"OK","Atok","Atok, Benguet, Philippines","APPROXIMATE",c(120.6890055, 16.597449)
"89",84,"OK","Aurora (IA)","Aurora, IA 50607, USA","APPROXIMATE",c(-91.7284957, 42.618873)
"90",85,"ZERO_RESULTS","Aurora (ZR)",NA,NA,c(NA, NA)
"91",86,"OK","Ayungon","Ayungon, Negros Oriental, Philippines","APPROXIMATE",c(123.1389366, 9.8500812)
"92",87,"OK","Baao","Baao, Camarines Sur, Philippines","APPROXIMATE",c(123.3710571, 13.5015601)
"93",88,"OK","Babatngon","Babatngon, Leyte, Philippines","APPROXIMATE",c(124.8844867, 11.3905109)
"94",89,"OK","Bacacay","Bacacay, Albay, Philippines","APPROXIMATE",c(123.8746152, 13.2958591)
"95",90,"OK","Bacarra","Bacarra, Ilocos Norte, Philippines","APPROXIMATE",c(120.6084832, 18.2703871)
"96",91,"OK","Baclayon","Baclayon, Bohol, Philippines","APPROXIMATE",c(123.919245, 9.6323687)
"97",92,"OK","Bacnotan","Bacnotan, La Union, Philippines","APPROXIMATE",c(120.3666099, 16.7339713)
"98",93,"OK","Baco","Baco, Oriental Mindoro, Philippines","APPROXIMATE",c(121.0564425, 13.2623378)
"99",94,"OK","Bacolod (LN)","Bacolod, Negros Occidental, Philippines","APPROXIMATE",c(122.9510716, 10.6713397)
"100",95,"OK","Bacolod (NO)","Bacolod, Negros Occidental, Philippines","APPROXIMATE",c(122.9510716, 10.6713397)
"101",96,"OK","Bacolod-Kalawi","Bacolod-Kalawi, Lanao del Sur, Philippines","APPROXIMATE",c(124.1253751, 7.8734775)
"102",97,"OK","Bacolor","Bacolor, Pampanga, Philippines","APPROXIMATE",c(120.6257423, 15.0316774)
"103",98,"OK","Bacong","Bacong, Negros Oriental, Philippines","APPROXIMATE",c(123.2644093, 9.2391819)
"104",99,"OK","Bacoor","Bacoor, Cavite, Philippines","APPROXIMATE",c(120.9736786, 14.4129931)
"105",100,"OK","Bacuag","Bacuag, Surigao del Norte, Philippines","APPROXIMATE",c(125.6314191, 9.5412674)
"106",101,"OK","Bacungan Leon B. Postigo","Leon B. Postigo, Zamboanga del Norte, Philippines","APPROXIMATE",c(122.9437667, 8.0698498)
"108",102,"OK","Badian","Badian, Cebu, Philippines","APPROXIMATE",c(123.4159263, 9.8320892)
"109",103,"OK","Badiangan","Badiangan, Iloilo, Philippines","APPROXIMATE",c(122.5259596, 10.9964817)
"110",104,"OK","Badoc","Badoc, Ilocos Norte, Philippines","APPROXIMATE",c(120.4933624, 17.9084723)
"111",105,"OK","Bagabag","Bagabag, Nueva Vizcaya, Philippines","APPROXIMATE",c(121.2855249, 16.5833702)
"112",106,"OK","Bagac","Bagac, Bataan, Philippines","APPROXIMATE",c(120.4127161, 14.5892275)
"113",107,"OK","Bagamanoc","Bagamanoc, Catanduanes, Philippines","APPROXIMATE",c(124.2887451, 13.94037)
"114",108,"OK","Baganga","Baganga, Davao Oriental, Philippines","APPROXIMATE",c(126.3931354, 7.6000989)
"115",109,"OK","Baggao","Baggao, Cagayan, Philippines","APPROXIMATE",c(121.8725374, 17.8814458)
"116",110,"OK","Bago","Bago City, Negros Occidental, Philippines","APPROXIMATE",c(122.9663018, 10.503405)
"118",111,"OK","Baguio","Baguio, Benguet, Philippines","APPROXIMATE",c(120.5960071, 16.4023332)
"119",112,"OK","Bagulin","Bagulin, La Union, Philippines","APPROXIMATE",c(120.4933624, 16.5975302)
"120",113,"OK","Bagumbayan","Bagumbayan, Taguig, Metro Manila, Philippines","APPROXIMATE",c(121.0550093, 14.4770279)
"122",114,"OK","Bais","Bais City, Negros Oriental, Philippines","APPROXIMATE",c(123.1211792, 9.5915686)
"123",115,"OK","Bakun","Bakun, Benguet, Philippines","APPROXIMATE",c(120.6890055, 16.8079575)
"124",116,"OK","Balabac","Balabac, Palawan, Philippines","APPROXIMATE",c(117.1264753, 8.1539618)
"125",117,"OK","Balabagan","Balabagan, Lanao del Sur, Philippines","APPROXIMATE",c(124.1420679, 7.5434413)
"126",118,"OK","Balagtas","Balagtas, Bulacan, Philippines","APPROXIMATE",c(120.9051758, 14.8320446)
"127",119,"OK","Balamban","Balamban, Cebu, Philippines","APPROXIMATE",c(123.7741195, 10.4858484)
"128",120,"OK","Balangkayan","Balangkayan, Eastern Samar, Philippines","APPROXIMATE",c(125.4911266, 11.4469882)
"129",121,"OK","Balangiga","Balangiga, Eastern Samar, Philippines","APPROXIMATE",c(125.3685679, 11.2092175)
"130",122,"OK","Balanga","City of Balanga, Bataan, Philippines","APPROXIMATE",c(120.5112907, 14.6741293)
"131",123,"OK","Balaoan","Balaoan, La Union, Philippines","APPROXIMATE",c(120.4011911, 16.8022485)
"132",124,"OK","Balasan","Balasan, Iloilo, Philippines","APPROXIMATE",c(123.0901539, 11.4592707)
"133",125,"OK","Balatan","Balatan, Camarines Sur, Philippines","APPROXIMATE",c(123.2475594, 13.3490803)
"134",126,"OK","Balayan","Balayan, Batangas, Philippines","APPROXIMATE",c(120.7005044, 13.9375597)
"135",127,"OK","Balbalan","Balbalan, Kalinga, Philippines","APPROXIMATE",c(121.1481284, 17.5309531)
"136",128,"ZERO_RESULTS","Baleno",NA,NA,c(NA, NA)
"137",129,"OK","Baler","Baler, Aurora, Philippines","APPROXIMATE",c(121.57125, 15.733607)
"138",130,"OK","Balete (AK)","Balete, Batangas, Philippines","APPROXIMATE",c(121.1080244, 14.0091974)
"139",131,"OK","Balete (BS)","Balete, Batangas, Philippines","APPROXIMATE",c(121.1080244, 14.0091974)
"140",132,"OK","Baliangao","Baliangao, Misamis Occidental, Philippines","APPROXIMATE",c(123.6287673, 8.6180946)
"141",133,"OK","Baliguian","Baliguian, Zamboanga del Norte, Philippines","APPROXIMATE",c(122.2200065, 7.8314281)
"142",134,"OK","Balilihan","Balilihan, Bohol, Philippines","APPROXIMATE",c(123.997295, 9.7670437)
"143",135,"ZERO_RESULTS","Balindong",NA,NA,c(NA, NA)
"144",136,"OK","Balingasag","Balingasag, Misamis Oriental, Philippines","APPROXIMATE",c(124.7816122, 8.744484)
"145",137,"OK","Balingoan","Balingoan, Misamis Oriental, Philippines","APPROXIMATE",c(124.8472678, 9.0040169)
"146",138,"OK","Baliwag","Baliuag, Bulacan, Philippines","APPROXIMATE",c(120.8945181, 14.9742417)
"147",139,"OK","Ballesteros","Ballesteros, Cagayan, Philippines","APPROXIMATE",c(121.5141615, 18.3509887)
"148",140,"OK","Baloi","Baloi, Lanao del Norte, Philippines","APPROXIMATE",c(124.2310439, 8.1098952)
"149",141,"OK","Balud","Balud, Masbate, Philippines","APPROXIMATE",c(123.1913722, 11.9699666)
"150",142,"OK","Balungao","Balungao, Pangasinan, Philippines","APPROXIMATE",c(120.6890055, 15.8837087)
"151",143,"OK","Bamban","Bamban, Tarlac, Philippines","APPROXIMATE",c(120.5704134, 15.2884332)
"152",144,"OK","Bambang","Bambang St, Manila, Metro Manila, Philippines","GEOMETRIC_CENTER",c(120.9813275, 14.6111019)
"154",145,"OK","Banate","Banate, Iloilo, Philippines","APPROXIMATE",c(122.8155554, 11.000592)
"155",146,"OK","Banaue","Banaue, Ifugao, Philippines","APPROXIMATE",c(121.1022942, 16.9496263)
"156",147,"OK","Banaybanay","Banaybanay, Davao Oriental, Philippines","APPROXIMATE",c(126.1601269, 7.1608407)
"157",148,"OK","Banayoyo","Banayoyo, Ilocos Sur, Philippines","APPROXIMATE",c(120.4991209, 17.2350729)
"158",149,"ZERO_RESULTS","Banga (AK)",NA,NA,c(NA, NA)
"159",150,"ZERO_RESULTS","Banga (SC)",NA,NA,c(NA, NA)
"160",151,"OK","Bangar","Bangar, La Union, Philippines","APPROXIMATE",c(120.4242401, 16.8829454)
"162",152,"OK","Bangued","Bangued, Abra, Philippines","APPROXIMATE",c(120.6314948, 17.5881847)
"163",153,"OK","Bangui","Bangui, Ilocos Norte, Philippines","APPROXIMATE",c(120.7349584, 18.5127343)
"165",154,"OK","Bani","Bani, Pangasinan, Philippines","APPROXIMATE",c(119.8583772, 16.2229069)
"166",155,"OK","Banisilan","Banisilan, Cotabato, Philippines","APPROXIMATE",c(124.7298765, 7.537013)
"167",156,"OK","Banna","Banna, Ilocos Norte, Philippines","APPROXIMATE",c(120.6429991, 17.9567926)
"168",157,"OK","Bansalan","Bansalan, Davao del Sur, Philippines","APPROXIMATE",c(125.2055655, 6.7908497)
"169",158,"OK","Bansud","Bansud, Oriental Mindoro, Philippines","APPROXIMATE",c(121.3770336, 12.8526728)
"170",159,"OK","Bantay","Bantay, Ilocos Sur, Philippines","APPROXIMATE",c(120.447285, 17.5983228)
"171",160,"OK","Bantayan Island","Bantayan Island, Philippines","APPROXIMATE",c(123.7405967, 11.1999448)
"172",161,"OK","Baras (CT)","Baras, Rizal, Philippines","APPROXIMATE",c(121.2740813, 14.5365625)
"173",162,"OK","Baras (RL)","Baras, Rizal, Philippines","APPROXIMATE",c(121.2740813, 14.5365625)
"174",163,"OK","Barbaza","Barbaza, Antique, Philippines","APPROXIMATE",c(122.0541271, 11.2231318)
"175",164,"OK","Barcelona","Barcelona, Spain","APPROXIMATE",c(2.168568, 41.3873974)
"176",165,"OK","Barili","Barili, Cebu, Philippines","APPROXIMATE",c(123.5393105, 10.1219023)
"177",166,"OK","Barira","Barira, Maguindanao, Philippines","APPROXIMATE",c(124.3088255, 7.4826599)
"178",167,"OK","Barlig","Barlig, Mountain Province, Philippines","APPROXIMATE",c(121.1435274, 17.0399912)
"179",168,"OK","Barobo","Barobo, Surigao del Sur, Philippines","APPROXIMATE",c(126.1232175, 8.5175454)
"180",169,"OK","Barotac Nuevo","Barotac Nuevo, Iloilo, Philippines","APPROXIMATE",c(122.740723, 10.9216153)
"181",170,"OK","Barotac Viejo","Barotac Viejo, Iloilo, Philippines","APPROXIMATE",c(122.8761309, 11.0625316)
"182",171,"OK","Baroy","Baroy, Lanao del Norte, Philippines","APPROXIMATE",c(123.8299639, 7.9797419)
"183",172,"OK","Barugo","Barugo, Leyte, Philippines","APPROXIMATE",c(124.7630307, 11.3002334)
"184",173,"OK","Basay","Basay, Negros Oriental, Philippines","APPROXIMATE",c(122.6842498, 9.4386369)
"185",174,"OK","Basco","Basco, Batanes, Philippines","APPROXIMATE",c(122.004179, 20.4634375)
"186",175,"OK","Basey","Basey, Samar, Philippines","APPROXIMATE",c(125.1708741, 11.4096717)
"187",176,"OK","Basilisa","Basilisa, Dinagat Islands, Philippines","APPROXIMATE",c(125.6028665, 10.0668367)
"188",177,"OK","Basista","Basista, Pangasinan, Philippines","APPROXIMATE",c(120.3954282, 15.8716297)
"189",178,"OK","Basud (CN)","Basud, Camarines Norte, Philippines","APPROXIMATE",c(122.9663018, 14.006633)
"190",179,"OK","Batac","Batac, Ilocos Norte, Philippines","APPROXIMATE",c(120.5940777, 18.0460318)
"191",180,"OK","Batad","Batad, Iloilo, Philippines","APPROXIMATE",c(123.1126559, 11.4169972)
"193",181,"OK","Batan","Batan, Aklan, Philippines","APPROXIMATE",c(122.5259596, 11.5699736)
"194",182,"OK","Batangas","Batangas, Philippines","APPROXIMATE",c(121.0583076, 13.7564651)
"196",183,"OK","Bataraza","Bataraza, Palawan, Philippines","APPROXIMATE",c(117.4086488, 8.5299423)
"197",184,"ZERO_RESULTS","Bato (CS)",NA,NA,c(NA, NA)
"198",185,"ZERO_RESULTS","Bato (CT)",NA,NA,c(NA, NA)
"199",186,"ZERO_RESULTS","Bato (LE)",NA,NA,c(NA, NA)
"200",187,"OK","Batuan (BL)","Batuan, Bohol, Philippines","APPROXIMATE",c(124.1198102, 9.800987)
"201",188,"OK","Batuan (MS)","Batuan, Bohol, Philippines","APPROXIMATE",c(124.1198102, 9.800987)
"202",189,"OK","Bauan","Bauan, Batangas, Philippines","APPROXIMATE",c(120.9761599, 13.7962681)
"203",190,"OK","Bauang","Bauang, La Union, Philippines","APPROXIMATE",c(120.3550808, 16.5143324)
"204",191,"OK","Bauko","Bauko, Mountain Province, Philippines","APPROXIMATE",c(120.8728615, 16.9880897)
"205",192,"OK","Baungon","Baungon, Bukidnon, Philippines","APPROXIMATE",c(124.6635297, 8.2633635)
"206",193,"ZERO_RESULTS","Bautista",NA,NA,c(NA, NA)
"207",194,"ZERO_RESULTS","Bay",NA,NA,c(NA, NA)
"208",195,"ZERO_RESULTS","Bayabas",NA,NA,c(NA, NA)
"209",196,"OK","Bayambang","Bayambang, Pangasinan, Philippines","APPROXIMATE",c(120.4127161, 15.8007665)
"210",197,"OK","Bayang","Bayang, Lanao del Sur, Philippines","APPROXIMATE",c(124.2088081, 7.7407545)
"211",198,"OK","Bayawan","Bayawan City, Negros Oriental, Philippines","APPROXIMATE",c(122.8535755, 9.4498906)
"212",199,"OK","Baybay","Baybay City, Leyte, Philippines","APPROXIMATE",c(124.8525626, 10.6521412)
"213",200,"OK","Bayog","Bayog, Zamboanga del Sur, Philippines","APPROXIMATE",c(123.0563914, 7.9281492)
"214",201,"OK","Bayombong","Bayombong, Nueva Vizcaya, Philippines","APPROXIMATE",c(121.1481284, 16.4804228)
"215",202,"OK","Bayugan","Bayugan City, Agusan del Sur, Philippines","APPROXIMATE",c(125.7480952, 8.7143526)
"216",203,"OK","Belison","Belison, Antique, Philippines","APPROXIMATE",c(121.9871217, 10.8475866)
"217",204,"OK","Benito Soliven","Benito Soliven, Isabela, Philippines","APPROXIMATE",c(121.9245556, 16.9347472)
"218",205,"OK","Besao","Besao, Mountain Province, Philippines","APPROXIMATE",c(120.8384093, 17.1097133)
"219",206,"OK","Bien Unido","Bien Unido, Bohol, Philippines","APPROXIMATE",c(124.37325, 10.1210626)
"220",207,"OK","Bilar","Bilar, Bohol, Philippines","APPROXIMATE",c(124.1050282, 9.7077851)
"221",208,"OK","Biliran","Biliran, Philippines","APPROXIMATE",c(124.4974405, 11.5106303)
"223",209,"OK","Binalbagan","Binalbagan, Negros Occidental, Philippines","APPROXIMATE",c(122.8664849, 10.1999593)
"224",210,"OK","Binalonan","Binalonan, Pangasinan, Philippines","APPROXIMATE",c(120.5969758, 16.0658528)
"225",211,"OK","Binan","Biñan, Laguna, Philippines","APPROXIMATE",c(121.0781493, 14.3036345)
"226",212,"OK","Binangonan","Binangonan, Rizal, Philippines","APPROXIMATE",c(121.195743, 14.4765477)
"227",213,"OK","Bindoy","Bindoy, Negros Oriental, Philippines","APPROXIMATE",c(123.0563914, 9.7945327)
"228",214,"OK","Bingawan","Bingawan, Iloilo, Philippines","APPROXIMATE",c(122.593828, 11.2052871)
"229",215,"OK","Binidayan","Binidayan, Lanao del Sur, Philippines","APPROXIMATE",c(124.1643201, 7.7633063)
"230",216,"OK","Binmaley","Binmaley, Pangasinan, Philippines","APPROXIMATE",c(120.2858846, 15.9988508)
"231",217,"OK","Binuangan","Binuangan, Misamis Oriental, Philippines","APPROXIMATE",c(124.7837456, 8.9195807)
"232",218,"OK","Biri","Biri, Northern Samar, Philippines","APPROXIMATE",c(124.4087307, 12.6605974)
"233",219,"OK","Bislig","Bislig, Surigao del Sur, Philippines","APPROXIMATE",c(126.2847751, 8.2100558)
"234",220,"OK","Boac","Boac, Marinduque, Philippines","APPROXIMATE",c(121.8790306, 13.3941301)
"235",221,"OK","Bobon","Bobon, Northern Samar, Philippines","APPROXIMATE",c(124.5306837, 12.416216)
"236",222,"OK","Bocaue","Bocaue, Bulacan, Philippines","APPROXIMATE",c(120.9395039, 14.8072101)
"237",223,"OK","Bogo","Bogo City, Cebu, Philippines","APPROXIMATE",c(123.986149, 11.0128292)
"238",224,"OK","Bokod","Bokod, Benguet, Philippines","APPROXIMATE",c(120.7809676, 16.4564063)
"239",225,"OK","Bolinao","Bolinao, Pangasinan, Philippines","APPROXIMATE",c(119.8927296, 16.3425356)
"240",226,"OK","Boliney","Boliney, Abra, Philippines","APPROXIMATE",c(120.8728615, 17.3674569)
"241",227,"OK","Boljoon","Boljoon, Cebu, Philippines","APPROXIMATE",c(123.4495644, 9.6457398)
"242",228,"OK","Bombon","Bombon, Camarines Sur, Philippines","APPROXIMATE",c(123.2082318, 13.6819875)
"243",229,"OK","Bongabon","Bongabon, Nueva Ecija, Philippines","APPROXIMATE",c(121.2397438, 15.6719324)
"244",230,"OK","Bongabong","Bongabong, Oriental Mindoro, Philippines","APPROXIMATE",c(121.3998995, 12.7075664)
"245",231,"OK","Bongao","Bongao, Tawi-Tawi, Philippines","APPROXIMATE",c(119.8120795, 5.1041783)
"246",232,"ZERO_RESULTS","Bonifacio",NA,NA,c(NA, NA)
"247",233,"OK","Bontoc (MP)","Bontoc, Mountain Province, Philippines","APPROXIMATE",c(121.0105733, 17.091256)
"248",234,"OK","Bontoc (SL)","Bontoc, Mountain Province, Philippines","APPROXIMATE",c(121.0105733, 17.091256)
"249",235,"OK","Borbon","Borbon, Cebu, Philippines","APPROXIMATE",c(123.997295, 10.8462735)
"250",236,"OK","Borongan","Borongan City, Eastern Samar, Philippines","APPROXIMATE",c(125.4328501, 11.6079912)
"251",237,"OK","Boston","Boston, MA, USA","APPROXIMATE",c(-71.0588801, 42.3600825)
"252",238,"OK","Botolan","Botolan, Zambales, Philippines","APPROXIMATE",c(120.0255588, 15.2893147)
"253",239,"OK","Braulio E. Dujali","Braulio E. Dujali, Davao del Norte, Philippines","APPROXIMATE",c(125.7079231, 7.4568198)
"254",240,"OK","Buadiposo-Buntong","Buadiposo-Buntong, Lanao del Sur, Philippines","APPROXIMATE",c(124.3865392, 7.9651555)
"255",241,"OK","Bubong","Bubong, Lanao del Sur, Philippines","APPROXIMATE",c(124.4863567, 8.0206263)
"256",242,"OK","Bucay","Bucay, Ecuador","APPROXIMATE",c(-79.177711, -2.204719)
"258",243,"OK","Bucloc","Bucloc, Abra, Philippines","APPROXIMATE",c(120.8422548, 17.4437463)
"259",244,"OK","Buenavista (AN)","Buenavista, Agusan Del Norte, Philippines","APPROXIMATE",c(125.3685679, 8.7859265)
"260",245,"ZERO_RESULTS","Buenavista (BL)",NA,NA,c(NA, NA)
"261",246,"OK","Buenavista (GS)","Buenavista, Agusan Del Norte, Philippines","APPROXIMATE",c(125.3685679, 8.7859265)
"262",247,"OK","Buenavista (ME)","Buenavista, Agusan Del Norte, Philippines","APPROXIMATE",c(125.3685679, 8.7859265)
"263",248,"OK","Buenavista (QN)","Buenavista, Agusan Del Norte, Philippines","APPROXIMATE",c(125.3685679, 8.7859265)
"264",249,"OK","Bugallon","Bugallon, Pangasinan, Philippines","APPROXIMATE",c(120.182022, 15.9202228)
"265",250,"OK","Bugasong","Bugasong, Antique, Philippines","APPROXIMATE",c(122.1405413, 11.1016314)
"266",251,"OK","Buguey","Buguey, Cagayan, Philippines","APPROXIMATE",c(121.7879244, 18.2585476)
"267",252,"OK","Buguias","Buguias, Benguet, Philippines","APPROXIMATE",c(120.8368171, 16.7491571)
